wallet_id,score
0x8587d9f794f06d976c2ec1cfd523983b856f5ca9,164
0x880a0af12da55df1197f41697c1a1b61670ed410,376
0x8aaece100580b749a20f8ce30338c4e0770b65ed,177
0x8be38ea2b22b706aef313c2de81f7d179024dd30,408
0x8d900f213db5205c529aaba5d10e71a0ed2646db,145
0x91919344c1dad09772d19ad8ad4f1bcd29c51f27,164
0x93f0891bf71d8abed78e0de0885bd26355bb8b1d,357
0x96479b087cb8f236a5e2dcbfc50ce63b2f421da6,348
0x96bb4447a02b95f1d1e85374cffd565eb22ed2f8,313
0x9a363adc5d382c04d36b09158286328f75672098,149
0x9ad1331c5b6c5a641acffb32719c66a80c6e1a17,371
0x9ba0d85f71e145ccf15225e59631e5a883d5d74a,347
0x9e6ec4e98793970a1307262ba68d37594e58cd78,369
0xa7e94d933eb0c439dda357f61244a485246e97b8,114
0xa7f3c74f0255796fd5d3ddcf88db769f7a6bf46a,328
0xa98dc64bb42575efec7d1e4560c029231ce5da51,190
0xb271ff7090b39028eb6e711c3f89a3453d5861ee,350
0xb475576594ae44e1f75f534f993cbb7673e4c8b6,164
0xb57297c5d02def954794e593db93d0a302e43e5c,357
0xbd4a00764217c13a246f86db58d74541a0c3972a,361
0xc179d55f7e00e789915760f7d260a1bf6285278b,397
0xc22b8e78394ce52e0034609a67ae3c959daa84bc,327
0xcbbd9fe837a14258286bbf2e182cbc4e4518c5a3,361
0xcecf5163bb057c1aff4963d9b9a7d2f0bf591710,331
0xcf0033bf27804640e5339e06443e208db5870dd2,164
0xd0df53e296c1e3115fccc3d7cdf4ba495e593b56,177
0xd1a3888fd8f490367c6104e10b4154427c02dd9c,164
0xd334d18fa6bada9a10f361bae42a019ce88a3c33,344
0xd9d3930ffa343f5a0eec7606d045d0843d3a02b4,313
0xdde73df7bd4d704a89ad8421402701b3a460c6e9,344
0xde92d70253604fd8c5998c8ee3ed282a41b33b7f,177
0xded1f838ae6aa5fcd0f13481b37ee88e5bdccb3d,217
0xebb8629e8a3ec86cf90cb7600264415640834483,290
0xeded1c8c0a0c532195b8432153f3bfa81dba2a90,313
0xf10fd8921019615a856c1e95c7cd3632de34edc4,178
0xf340b9f2098f80b86fbc5ede586c319473aa11f3,341
0xf54f36bca969800fd7d63a68029561309938c09b,164
0xf60304b534f74977e159b2e159e135475c245526,327
0xf67e8e5805835465f7eba988259db882ab726800,164
0xf7aa5d0752cfcd41b0a5945867d619a80c405e52,164
0xf80a8b9cfff0febf49914c269fb8aead4a22f847,350
0xfe5a05c0f8b24fca15a7306f6a4ebb7dcf2186ac,164
